entity_dir,track,level,method,coverage,coverage_never_trained,median_width,mean_diff,gradient
Pacifastacus_leniusculus_alien,combined,20,platt,0.82141,0.82269,0.22753,0.01855,-0.56956
Pacifastacus_leniusculus_alien,combined,20,isotonic,0.78184,0.7837,0.213,0.05325,0.62662
Pacifastacus_leniusculus_alien,combined,3,uncalibrated,0.96967,0.96964,0.20094,0.01052,0.35073
Pacifastacus_leniusculus_alien,combined,3,platt,0.90889,0.90893,0.22656,-0.01408,-0.7008
Pacifastacus_leniusculus_alien,combined,3,isotonic,0.96366,0.96437,0.169,0.00981,0.24933
Pacifastacus_leniusculus_alien,local_only,10,uncalibrated,0.90854,0.91107,0.25789,0.02854,0.52243
Pacifastacus_leniusculus_alien,local_only,10,platt,0.90171,0.89972,0.33973,0.04569,0.76595
Pacifastacus_leniusculus_alien,local_only,10,isotonic,0.85006,0.84691,0.22297,0.0289,0.68114
Pacifastacus_leniusculus_alien,local_only,20,uncalibrated,0.86381,0.87069,0.27332,0.04419,0.55154
Pacifastacus_leniusculus_alien,local_only,20,platt,0.83495,0.83286,0.37607,0.07275,0.78411
Pacifastacus_leniusculus_alien,local_only,20,isotonic,0.78443,0.78336,0.21756,0.05958,0.72692
Pacifastacus_leniusculus_alien,local_only,3,uncalibrated,0.97375,0.97495,0.24327,0.0105,0.4741
Pacifastacus_leniusculus_alien,local_only,3,platt,0.96774,0.96678,0.28083,0.0119,0.63645
Pacifastacus_leniusculus_alien,local_only,3,isotonic,0.95874,0.96006,0.20345,0.01096,0.48799
Pacifastacus_leniusculus_alien,upstream_only,10,uncalibrated,0.62792,0.63117,0.17807,0.01722,0.10517
Pacifastacus_leniusculus_alien,upstream_only,10,platt,0.97818,0.97833,0.23086,0.01445,-0.50846
Pacifastacus_leniusculus_alien,upstream_only,10,isotonic,0.63158,0.63548,0.19176,0.0192,-0.38965
Pacifastacus_leniusculus_alien,upstream_only,20,uncalibrated,0.61187,0.61865,0.17867,0.02844,0.12207
Pacifastacus_leniusculus_alien,upstream_only,20,platt,0.60584,0.61123,0.21213,0.02291,-0.23878
Pacifastacus_leniusculus_alien,upstream_only,20,isotonic,0.57532,0.58125,0.11104,0.04198,0.44714
Pacifastacus_leniusculus_alien,upstream_only,3,uncalibrated,0.99426,0.99427,0.17745,0.00558,0.11397
Pacifastacus_leniusculus_alien,upstream_only,3,platt,0.99421,0.99418,0.24425,0.00316,-0.63537
Pacifastacus_leniusculus_alien,upstream_only,3,isotonic,0.99316,0.99331,0.20954,0.00591,0.04154
Pontastacus_leptodactylus_pooled,combined,10,uncalibrated,0.96309,0.96363,0.28638,0.01098,0.12552
Pontastacus_leptodactylus_pooled,combined,10,platt,0.95058,0.95004,0.27038,0.02014,-0.01918
Pontastacus_leptodactylus_pooled,combined,10,isotonic,0.94478,0.94391,0.24975,0.01962,-0.03147
Pontastacus_leptodactylus_pooled,combined,20,uncalibrated,0.91732,0.91699,0.27781,0.02062,0.25801
Pontastacus_leptodactylus_pooled,combined,20,platt,0.89601,0.89383,0.23662,0.01922,0.49531
Pontastacus_leptodactylus_pooled,combined,20,isotonic,0.84611,0.84213,0.19996,0.02175,0.49467
Pontastacus_leptodactylus_pooled,combined,3,uncalibrated,0.98823,0.98814,0.29695,0.00286,0.09087
Pontastacus_leptodactylus_pooled,combined,3,platt,0.97856,0.97763,0.27447,0.01541,0.02397
Pontastacus_leptodactylus_pooled,combined,3,isotonic,0.97607,0.97535,0.25061,0.01469,0.15115
Pontastacus_leptodactylus_pooled,local_only,10,uncalibrated,0.9613,0.96157,0.28652,0.0114,0.2835
Pontastacus_leptodactylus_pooled,local_only,10,platt,0.95829,0.95843,0.28017,0.01764,0.0024
Pontastacus_leptodactylus_pooled,local_only,10,isotonic,0.95093,0.9507,0.26693,0.02034,0.1267
Pontastacus_leptodactylus_pooled,local_only,20,uncalibrated,0.92338,0.92401,0.27956,0.02123,0.33755
Pontastacus_leptodactylus_pooled,local_only,20,platt,0.90586,0.9047,0.23985,0.01756,0.46088
Pontastacus_leptodactylus_pooled,local_only,20,isotonic,0.85134,0.84604,0.22645,0.02346,0.69335
Pontastacus_leptodactylus_pooled,local_only,3,uncalibrated,0.9891,0.98907,0.29717,0.00194,0.08716
Pontastacus_leptodactylus_pooled,local_only,3,platt,0.98553,0.98524,0.27519,0.0091,-0.43604
Pontastacus_leptodactylus_pooled,local_only,3,isotonic,0.98113,0.98058,0.26367,0.0103,0.03095
Pontastacus_leptodactylus_pooled,upstream_only,10,uncalibrated,0.9844,0.98454,0.18415,0.00639,0.02829
Pontastacus_leptodactylus_pooled,upstream_only,10,platt,0.59246,0.59347,0.17662,0.00973,-0.32333
Pontastacus_leptodactylus_pooled,upstream_only,10,isotonic,0.58801,0.58916,0.16752,0.01121,-0.25109
Pontastacus_leptodactylus_pooled,upstream_only,20,uncalibrated,0.57978,0.58162,0.18605,0.01118,0.25951
Pontastacus_leptodactylus_pooled,upstream_only,20,platt,0.95969,0.95899,0.167,0.00395,0.684
Pontastacus_leptodactylus_pooled,upstream_only,20,isotonic,0.57751,0.57908,0.14747,0.00595,0.41041
Pontastacus_leptodactylus_pooled,upstream_only,3,uncalibrated,0.9949,0.99482,0.19017,0.00128,0.14076
Pontastacus_leptodactylus_pooled,upstream_only,3,platt,0.60261,0.60277,0.1778,0.01256,0.16239
Pontastacus_leptodactylus_pooled,upstream_only,3,isotonic,0.60323,0.60347,0.16735,0.02023,0.11995
Procambarus_clarkii_alien,combined,10,uncalibrated,0.98191,0.98323,0.25986,0.00848,0.26
Procambarus_clarkii_alien,combined,10,platt,0.9862,0.98736,0.2631,-0.00232,-0.15993
Procambarus_clarkii_alien,combined,10,isotonic,0.98202,0.98268,0.24835,-0.0007,-0.10421
Procambarus_clarkii_alien,combined,20,uncalibrated,0.96126,0.96364,0.26554,0.0163,0.35136
Procambarus_clarkii_alien,combined,20,platt,0.97307,0.97562,0.2765,0.00511,0.43951
Procambarus_clarkii_alien,combined,20,isotonic,0.97203,0.97398,0.25527,0.00816,0.50987
Procambarus_clarkii_alien,combined,3,uncalibrated,0.99378,0.99402,0.25919,0.00312,0.25533
Procambarus_clarkii_alien,combined,3,platt,0.99468,0.99496,0.26197,-0.00191,-0.36482
Procambarus_clarkii_alien,combined,3,isotonic,0.98747,0.9867,0.24483,-0.00053,-0.03744
Procambarus_clarkii_alien,local_only,10,uncalibrated,0.9775,0.97907,0.1663,0.00756,0.16149
Procambarus_clarkii_alien,local_only,10,platt,0.97729,0.97813,0.21177,0.01253,0.45898
Procambarus_clarkii_alien,local_only,10,isotonic,0.96296,0.96148,0.15183,0.01025,-0.31406
Procambarus_clarkii_alien,local_only,20,uncalibrated,0.95094,0.95317,0.16536,0.01323,0.12637
Procambarus_clarkii_alien,local_only,20,platt,0.95705,0.95879,0.18222,0.00685,-0.10172
Procambarus_clarkii_alien,local_only,20,isotonic,0.95343,0.95445,0.1381,0.00894,-0.1919
Procambarus_clarkii_alien,local_only,3,uncalibrated,0.99246,0.99303,0.16795,0.00294,0.18169
Procambarus_clarkii_alien,local_only,3,platt,0.99333,0.9936,0.18755,0.00119,0.57209
Procambarus_clarkii_alien,local_only,3,isotonic,0.98564,0.98475,0.14753,0.00125,-0.14494
Procambarus_clarkii_alien,upstream_only,10,uncalibrated,0.99215,0.99296,0.11685,0.00493,0.33521
Procambarus_clarkii_alien,upstream_only,10,platt,0.99271,0.99336,0.13093,-0.00298,0.6451
Procambarus_clarkii_alien,upstream_only,10,isotonic,0.98925,0.98923,0.1043,0.00189,0.12909
Procambarus_clarkii_alien,upstream_only,20,uncalibrated,0.98448,0.98604,0.12197,0.00966,0.41775
Procambarus_clarkii_alien,upstream_only,20,platt,0.98575,0.98682,0.13299,-0.00174,0.35147
Procambarus_clarkii_alien,upstream_only,20,isotonic,0.98009,0.98034,0.09806,0.00226,0.0592
Procambarus_clarkii_alien,upstream_only,3,uncalibrated,0.99644,0.99647,0.11355,0.00199,0.24142
Procambarus_clarkii_alien,upstream_only,3,platt,0.99629,0.99634,0.12383,-0.00333,0.17525
Procambarus_clarkii_alien,upstream_only,3,isotonic,0.99279,0.99236,0.10957,-0.00209,0.42846
Procambarus_clarkii_native,combined,10,uncalibrated,0.99534,0.99585,0.34002,0.00442,0.08256
Procambarus_clarkii_native,combined,10,platt,0.98571,0.98471,0.53631,0.0739,0.72024
Procambarus_clarkii_native,combined,10,isotonic,0.98696,0.98633,0.30385,0.01232,0.41343
Procambarus_clarkii_native,combined,20,uncalibrated,0.99161,0.99264,0.35215,0.0072,0.12629
Procambarus_clarkii_native,combined,20,platt,0.97702,0.97687,0.36802,0.02359,0.18297
Procambarus_clarkii_native,combined,20,isotonic,0.98064,0.98046,0.26295,0.01903,0.13713
Procambarus_clarkii_native,combined,3,uncalibrated,0.99876,0.99891,0.33445,0.00221,0.09964
Procambarus_clarkii_native,combined,3,platt,0.98287,0.98119,0.5231,0.06827,0.76527
Procambarus_clarkii_native,combined,3,isotonic,0.98199,0.98021,0.29222,-0.00011,0.4521
Procambarus_clarkii_native,local_only,10,uncalibrated,0.99524,0.99562,0.24285,0.0055,0.18323
Procambarus_clarkii_native,local_only,10,platt,0.98416,0.98269,0.38046,0.03165,0.82609
Procambarus_clarkii_native,local_only,10,isotonic,0.96755,0.96556,0.19892,-0.00276,0.41222
Procambarus_clarkii_native,local_only,20,uncalibrated,0.99105,0.99177,0.2565,0.00856,0.23551
Procambarus_clarkii_native,local_only,20,platt,0.96837,0.968,0.29681,0.02666,0.25414
Procambarus_clarkii_native,local_only,20,isotonic,0.9603,0.95872,0.19797,0.02034,0.34198
Procambarus_clarkii_native,local_only,3,uncalibrated,0.9986,0.99862,0.23424,0.00279,0.1457
Procambarus_clarkii_native,local_only,3,platt,0.981,0.97895,0.35423,0.01988,0.8574
Procambarus_clarkii_native,local_only,3,isotonic,0.96542,0.96215,0.19248,-0.01326,0.37696
Procambarus_clarkii_native,upstream_only,10,uncalibrated,0.99612,0.99625,0.05928,0.00131,0.28531
Procambarus_clarkii_native,upstream_only,10,platt,0.68866,0.6873,0.26897,-0.01774,0.96429
Procambarus_clarkii_native,upstream_only,10,isotonic,0.68064,0.67859,0.05533,-0.05543,0.83235
Procambarus_clarkii_native,upstream_only,20,uncalibrated,0.99488,0.99548,0.05879,0.00285,0.23758
Procambarus_clarkii_native,upstream_only,20,platt,0.99348,0.9938,0.13894,-0.00565,-0.52796
Procambarus_clarkii_native,upstream_only,20,isotonic,0.98131,0.98186,0.20748,0.00246,0.41779
Procambarus_clarkii_native,upstream_only,3,uncalibrated,0.99896,0.99908,0.05782,0.00072,0.23924
Procambarus_clarkii_native,upstream_only,3,platt,0.68794,0.68588,0.27133,-0.0195,0.9812
Procambarus_clarkii_native,upstream_only,3,isotonic,0.68018,0.67754,0.12296,-0.05229,0.99417
