entity_dir,track,level,all_n,all_coverage,all_msd_mean,all_msd_median,no_contam_n,no_contam_coverage,no_contam_msd_mean,no_contam_msd_median,no_pool_n,no_pool_coverage,no_pool_msd_mean,no_pool_msd_median,never_trained_n,never_trained_coverage,never_trained_msd_mean,never_trained_msd_median
Pontastacus_leptodactylus_pooled,local_only,10,22945,0.9613,0.00748,0.01771,22826,0.96394,0.00736,0.0175,22441,0.96471,0.00727,0.01747,21339,0.96157,0.00775,0.01928
Pontastacus_leptodactylus_pooled,local_only,20,22945,0.92338,0.01439,0.0261,22722,0.92835,0.01411,0.02577,22441,0.9295,0.01404,0.02573,21239,0.92401,0.01475,0.02778
Pontastacus_leptodactylus_pooled,local_only,3,22945,0.9891,0.00139,0.00945,22911,0.98979,0.00136,0.00941,22441,0.98975,0.00136,0.00942,21416,0.98907,0.00146,0.01063
Pontastacus_leptodactylus_pooled,upstream_only,10,22945,0.9844,0.0091,0.01172,22826,0.98554,0.0091,0.01172,22441,0.98587,0.0091,0.01172,21339,0.98454,0.0091,0.01172
Pontastacus_leptodactylus_pooled,upstream_only,20,22945,0.57978,0.01406,0.01615,22722,0.58327,0.01406,0.01615,22441,0.58527,0.01406,0.01615,21239,0.58162,0.01406,0.01615
Pontastacus_leptodactylus_pooled,upstream_only,3,22945,0.9949,0.00158,0.00518,22911,0.99516,0.00158,0.00518,22441,0.99519,0.00158,0.00518,21416,0.99482,0.00158,0.00518
Procambarus_clarkii_alien,combined,10,48267,0.98191,0.00528,-0.00123,47827,0.98549,0.00521,-0.00143,42080,0.99282,0.00484,-0.00282,40190,0.98323,0.00531,-0.00068
Procambarus_clarkii_alien,combined,20,48267,0.96126,0.0105,0.00374,47398,0.96837,0.01028,0.0033,42080,0.98365,0.00964,0.00166,39821,0.96364,0.01056,0.0042
Procambarus_clarkii_alien,combined,3,48267,0.99378,0.00204,-0.00457,48137,0.99485,0.00202,-0.00462,42080,0.99715,0.00189,-0.00564,40456,0.99402,0.00208,-0.00396
Procambarus_clarkii_alien,local_only,10,48267,0.9775,0.00259,-0.00174,47827,0.98189,0.00252,-0.00189,42080,0.99023,0.00211,-0.00303,40190,0.97907,0.00264,-0.00133
Procambarus_clarkii_alien,local_only,20,48267,0.95094,0.00395,-0.00068,47398,0.95983,0.00374,-0.001,42080,0.9789,0.00299,-0.00246,39821,0.95317,0.00401,-0.00027
Procambarus_clarkii_alien,local_only,3,48267,0.99246,0.00149,-0.0029,48137,0.99375,0.00148,-0.00293,42080,0.99544,0.00131,-0.0037,40456,0.99303,0.00154,-0.00247
Procambarus_clarkii_alien,upstream_only,10,48267,0.99215,0.00453,0.00462,47827,0.99383,0.00453,0.00462,42080,0.99693,0.00453,0.00236,40190,0.99296,0.00453,0.00462
Procambarus_clarkii_alien,upstream_only,20,48267,0.98448,0.00862,0.00824,47398,0.98766,0.00862,0.00824,42080,0.99346,0.00862,0.00695,39821,0.98604,0.00862,0.00824
Procambarus_clarkii_alien,upstream_only,3,48267,0.99644,0.00126,0.00144,48137,0.99703,0.00126,0.00144,42080,0.9986,0.00126,0.00037,40456,0.99647,0.00126,0.00144
Procambarus_clarkii_native,combined,10,19320,0.99534,0.00305,-0.03824,19237,0.99605,0.00303,-0.03868,19018,0.99616,0.00302,-0.03957,17333,0.99585,0.00301,-0.03828
Procambarus_clarkii_native,combined,20,19320,0.99161,0.0042,-0.03758,19147,0.993,0.00414,-0.0383,19018,0.99316,0.00412,-0.03899,17250,0.99264,0.00408,-0.03804
Procambarus_clarkii_native,combined,3,19320,0.99876,0.00133,-0.03846,19295,0.99891,0.00133,-0.03856,19018,0.9989,0.00132,-0.03993,17385,0.99891,0.00133,-0.03812
Procambarus_clarkii_native,local_only,10,19320,0.99524,0.00445,-0.02075,19237,0.996,0.00442,-0.02098,19018,0.99606,0.00441,-0.02163,17333,0.99562,0.0044,-0.02085
Procambarus_clarkii_native,local_only,20,19320,0.99105,0.00642,-0.02072,19147,0.99248,0.00636,-0.0213,19018,0.99269,0.00635,-0.02167,17250,0.99177,0.00629,-0.02125
Procambarus_clarkii_native,local_only,3,19320,0.9986,0.00215,-0.02149,19295,0.9987,0.00215,-0.02155,19018,0.99884,0.00214,-0.02223,17385,0.99862,0.00213,-0.02124
Procambarus_clarkii_native,upstream_only,10,19320,0.99612,9e-05,-0.00409,19237,0.99641,9e-05,-0.00409,19018,0.99642,0.00012,-0.00409,17333,0.99625,4e-05,-0.00409
Procambarus_clarkii_native,upstream_only,20,19320,0.99488,0.00016,-0.00227,19147,0.99582,0.00016,-0.00227,19018,0.99595,0.00016,-0.00227,17250,0.99548,0.00016,-0.00227
Procambarus_clarkii_native,upstream_only,3,19320,0.99896,3e-05,-0.0034,19295,0.99907,3e-05,-0.0034,19018,0.99905,4e-05,-0.0034,17385,0.99908,-3e-05,-0.0034
