entity_dir,track,level,method,source,coverage,gradient,mean_diff
Austropotamobius_fulcisianus_pooled,upstream_only,10,uncalibrated,null,0.9933,-0.23147,-0.00378
Austropotamobius_fulcisianus_pooled,upstream_only,20,uncalibrated,contaminated,0.97579,0.26204,0.00529
Austropotamobius_fulcisianus_pooled,upstream_only,20,uncalibrated,null,0.98912,0.14226,-0.00407
Austropotamobius_fulcisianus_pooled,upstream_only,3,platt,contaminated,0.99756,-0.18613,-0.0
Austropotamobius_fulcisianus_pooled,upstream_only,3,platt,null,0.99874,-0.02287,-0.00086
Austropotamobius_fulcisianus_pooled,upstream_only,10,platt,contaminated,0.98715,0.15053,0.00355
Austropotamobius_fulcisianus_pooled,upstream_only,10,platt,null,0.99551,-0.15232,-0.00232
Austropotamobius_fulcisianus_pooled,upstream_only,20,platt,contaminated,0.97816,0.12146,0.00519
Austropotamobius_fulcisianus_pooled,upstream_only,20,platt,null,0.99196,0.06573,-0.00357
Austropotamobius_fulcisianus_pooled,upstream_only,3,isotonic,contaminated,0.99669,-0.22224,-0.00053
Austropotamobius_fulcisianus_pooled,upstream_only,3,isotonic,null,0.99637,-0.19267,-0.00123
Austropotamobius_fulcisianus_pooled,upstream_only,10,isotonic,contaminated,0.98289,-0.11043,0.00412
Austropotamobius_fulcisianus_pooled,upstream_only,10,isotonic,null,0.99211,-0.18318,-0.00301
Austropotamobius_fulcisianus_pooled,upstream_only,20,isotonic,contaminated,0.97626,-0.1276,0.00572
Austropotamobius_fulcisianus_pooled,upstream_only,20,isotonic,null,0.98738,-0.07841,-0.00462
Austropotamobius_torrentium_pooled,combined,3,uncalibrated,contaminated,0.98408,0.37011,0.01071
Austropotamobius_torrentium_pooled,combined,3,uncalibrated,null,0.99823,0.07158,-0.00109
Austropotamobius_torrentium_pooled,combined,10,uncalibrated,contaminated,0.92621,0.32968,0.03166
Austropotamobius_torrentium_pooled,combined,10,uncalibrated,null,0.99714,0.10274,-0.00162
Austropotamobius_torrentium_pooled,combined,20,uncalibrated,contaminated,0.85184,0.34779,0.05348
Austropotamobius_torrentium_pooled,combined,20,uncalibrated,null,0.99377,-0.04126,-0.00439
Austropotamobius_torrentium_pooled,combined,3,platt,contaminated,0.98155,0.34316,0.01242
Austropotamobius_torrentium_pooled,combined,3,platt,null,0.99823,0.08421,-0.00075
Austropotamobius_torrentium_pooled,combined,10,platt,contaminated,0.90355,0.29642,0.03235
Austropotamobius_torrentium_pooled,combined,10,platt,null,0.99773,0.08842,-0.00224
Austropotamobius_torrentium_pooled,combined,20,platt,contaminated,0.81612,0.31368,0.05034
Austropotamobius_torrentium_pooled,combined,20,platt,null,0.99478,-0.03789,-0.00601
Austropotamobius_torrentium_pooled,combined,3,isotonic,contaminated,0.95342,0.26677,0.01482
Austropotamobius_torrentium_pooled,combined,3,isotonic,null,0.99528,-0.04104,-0.00123
Austropotamobius_torrentium_pooled,combined,10,isotonic,contaminated,0.8894,0.18392,0.03388
Austropotamobius_torrentium_pooled,combined,10,isotonic,null,0.99335,-0.04854,-0.00335
Austropotamobius_torrentium_pooled,combined,20,isotonic,contaminated,0.81393,0.27125,0.05377
Austropotamobius_torrentium_pooled,combined,20,isotonic,null,0.98854,-0.00033,-0.00527
Austropotamobius_torrentium_pooled,local_only,3,uncalibrated,contaminated,0.984,0.45768,0.01263
Austropotamobius_torrentium_pooled,local_only,3,uncalibrated,null,0.99773,0.09895,-0.00016
Austropotamobius_torrentium_pooled,local_only,10,uncalibrated,contaminated,0.92268,0.41221,0.03362
Austropotamobius_torrentium_pooled,local_only,10,uncalibrated,null,0.99545,0.09137,-0.00245
Austropotamobius_torrentium_pooled,local_only,20,uncalibrated,contaminated,0.85049,0.46863,0.05582
Austropotamobius_torrentium_pooled,local_only,20,uncalibrated,null,0.99335,-0.024,-0.00489
Austropotamobius_torrentium_pooled,local_only,3,platt,contaminated,0.98433,0.40758,0.0137
Austropotamobius_torrentium_pooled,local_only,3,platt,null,0.9984,0.16421,0.00013
Austropotamobius_torrentium_pooled,local_only,10,platt,contaminated,0.9065,0.34863,0.03364
Austropotamobius_torrentium_pooled,local_only,10,platt,null,0.99671,0.03579,-0.00291
Austropotamobius_torrentium_pooled,local_only,20,platt,contaminated,0.81461,0.40589,0.05214
Austropotamobius_torrentium_pooled,local_only,20,platt,null,0.99444,-0.02105,-0.00633
Austropotamobius_torrentium_pooled,local_only,3,isotonic,contaminated,0.95788,0.22113,0.01682
Austropotamobius_torrentium_pooled,local_only,3,isotonic,null,0.99596,-0.0074,0.00048
Austropotamobius_torrentium_pooled,local_only,10,isotonic,contaminated,0.88064,0.28214,0.03614
Austropotamobius_torrentium_pooled,local_only,10,isotonic,null,0.99503,-0.09906,-0.00254
Austropotamobius_torrentium_pooled,local_only,20,isotonic,contaminated,0.81376,0.37314,0.05571
Austropotamobius_torrentium_pooled,local_only,20,isotonic,null,0.99107,-0.02712,-0.006
Austropotamobius_torrentium_pooled,upstream_only,3,uncalibrated,contaminated,0.99444,0.28217,0.00684
Austropotamobius_torrentium_pooled,upstream_only,3,uncalibrated,null,0.99857,-0.20204,0.00052
Austropotamobius_torrentium_pooled,upstream_only,10,uncalibrated,contaminated,0.97583,0.27034,0.02013
Austropotamobius_torrentium_pooled,upstream_only,10,uncalibrated,null,0.99789,-0.05548,0.00031
Austropotamobius_torrentium_pooled,upstream_only,20,uncalibrated,contaminated,0.52005,0.27245,0.03635
Austropotamobius_torrentium_pooled,upstream_only,20,uncalibrated,null,0.99655,-0.05389,-0.00065
Austropotamobius_torrentium_pooled,upstream_only,3,platt,contaminated,0.99309,0.14396,0.00545
Austropotamobius_torrentium_pooled,upstream_only,3,platt,null,0.99899,0.04705,0.00049
Austropotamobius_torrentium_pooled,upstream_only,10,platt,contaminated,0.97086,0.15582,0.01434
Austropotamobius_torrentium_pooled,upstream_only,10,platt,null,0.99781,-0.21192,-0.00129
Austropotamobius_torrentium_pooled,upstream_only,20,platt,contaminated,0.51735,0.16497,0.023
Austropotamobius_torrentium_pooled,upstream_only,20,platt,null,0.99655,-0.13847,-0.00197
Austropotamobius_torrentium_pooled,upstream_only,3,isotonic,contaminated,0.99343,0.09498,0.00501
Austropotamobius_torrentium_pooled,upstream_only,3,isotonic,null,0.99806,-0.02314,-0.00037
Austropotamobius_torrentium_pooled,upstream_only,10,isotonic,contaminated,0.98138,0.06695,0.01146
Austropotamobius_torrentium_pooled,upstream_only,10,isotonic,null,0.99764,-0.09172,-0.0036
Austropotamobius_torrentium_pooled,upstream_only,20,isotonic,contaminated,0.96496,0.09916,0.0408
Austropotamobius_torrentium_pooled,upstream_only,20,isotonic,null,0.99604,-0.09264,-0.00514
Faxonius_limosus_alien,combined,3,uncalibrated,contaminated,0.97432,0.51957,0.01038
Faxonius_limosus_alien,combined,3,uncalibrated,null,0.99496,0.0895,-0.00092
Faxonius_limosus_alien,combined,10,uncalibrated,contaminated,0.90904,0.58439,0.02379
Faxonius_limosus_alien,combined,10,uncalibrated,null,0.99247,0.00573,-0.00348
Faxonius_limosus_alien,combined,20,uncalibrated,contaminated,0.83463,0.66417,0.0361
Faxonius_limosus_alien,combined,20,uncalibrated,null,0.98728,-0.04213,-0.00929
Faxonius_limosus_alien,combined,3,platt,contaminated,0.97611,0.51808,0.01191
Faxonius_limosus_alien,combined,3,platt,null,0.99691,0.12316,-0.00078
Faxonius_limosus_alien,combined,10,platt,contaminated,0.91986,0.59013,0.02364
Faxonius_limosus_alien,combined,10,platt,null,0.99531,0.07405,-0.00339
Faxonius_limosus_alien,combined,20,platt,contaminated,0.85134,0.69409,0.03434
Faxonius_limosus_alien,combined,20,platt,null,0.99162,0.0005,-0.00884
Faxonius_limosus_alien,combined,3,isotonic,contaminated,0.96943,0.26239,0.00929
