bin,n,frac_over_mean,frac_over_median,entity_dir,track,level,mask
4,2385,0.55178,0.58574,Austropotamobius_fulcisianus_pooled,local_only,3,never_trained
0,2537,0.71186,0.38076,Austropotamobius_fulcisianus_pooled,upstream_only,10,all
1,2536,0.48304,0.43809,Austropotamobius_fulcisianus_pooled,upstream_only,10,all
2,2536,0.26617,0.36554,Austropotamobius_fulcisianus_pooled,upstream_only,10,all
3,2536,0.0,0.0,Austropotamobius_fulcisianus_pooled,upstream_only,10,all
4,2536,0.153,0.12303,Austropotamobius_fulcisianus_pooled,upstream_only,10,all
0,2378,0.71236,0.38099,Austropotamobius_fulcisianus_pooled,upstream_only,10,never_trained
1,2378,0.48528,0.44659,Austropotamobius_fulcisianus_pooled,upstream_only,10,never_trained
2,2377,0.26798,0.36432,Austropotamobius_fulcisianus_pooled,upstream_only,10,never_trained
3,2378,0.0,0.0,Austropotamobius_fulcisianus_pooled,upstream_only,10,never_trained
4,2378,0.15601,0.12405,Austropotamobius_fulcisianus_pooled,upstream_only,10,never_trained
0,2537,0.73157,0.4324,Austropotamobius_fulcisianus_pooled,upstream_only,20,all
1,2536,0.45978,0.45347,Austropotamobius_fulcisianus_pooled,upstream_only,20,all
2,2536,0.25,0.3545,Austropotamobius_fulcisianus_pooled,upstream_only,20,all
3,2536,0.0,0.0,Austropotamobius_fulcisianus_pooled,upstream_only,20,all
4,2536,0.15497,0.1321,Austropotamobius_fulcisianus_pooled,upstream_only,20,all
0,2368,0.73564,0.4375,Austropotamobius_fulcisianus_pooled,upstream_only,20,never_trained
1,2367,0.46219,0.45923,Austropotamobius_fulcisianus_pooled,upstream_only,20,never_trained
2,2367,0.25813,0.36079,Austropotamobius_fulcisianus_pooled,upstream_only,20,never_trained
3,2367,0.0,0.0,Austropotamobius_fulcisianus_pooled,upstream_only,20,never_trained
4,2367,0.15082,0.12632,Austropotamobius_fulcisianus_pooled,upstream_only,20,never_trained
0,2537,0.18329,0.16043,Austropotamobius_fulcisianus_pooled,upstream_only,3,all
1,2536,0.30126,0.30047,Austropotamobius_fulcisianus_pooled,upstream_only,3,all
2,2536,0.73935,0.84819,Austropotamobius_fulcisianus_pooled,upstream_only,3,all
3,2536,1.0,1.0,Austropotamobius_fulcisianus_pooled,upstream_only,3,all
4,2536,0.83162,0.7985,Austropotamobius_fulcisianus_pooled,upstream_only,3,all
0,2385,0.18449,0.16143,Austropotamobius_fulcisianus_pooled,upstream_only,3,never_trained
1,2385,0.30566,0.30776,Austropotamobius_fulcisianus_pooled,upstream_only,3,never_trained
2,2385,0.73836,0.84696,Austropotamobius_fulcisianus_pooled,upstream_only,3,never_trained
3,2385,1.0,1.0,Austropotamobius_fulcisianus_pooled,upstream_only,3,never_trained
4,2385,0.82096,0.78574,Austropotamobius_fulcisianus_pooled,upstream_only,3,never_trained
0,2375,0.91958,0.69937,Austropotamobius_torrentium_pooled,combined,10,all
1,2374,0.97894,0.75906,Austropotamobius_torrentium_pooled,combined,10,all
2,2374,0.94861,0.754,Austropotamobius_torrentium_pooled,combined,10,all
3,2374,0.79612,0.79107,Austropotamobius_torrentium_pooled,combined,10,all
4,2375,0.58989,0.64,Austropotamobius_torrentium_pooled,combined,10,all
0,2150,0.91907,0.69581,Austropotamobius_torrentium_pooled,combined,10,never_trained
1,2149,0.97673,0.76408,Austropotamobius_torrentium_pooled,combined,10,never_trained
2,2149,0.94463,0.76175,Austropotamobius_torrentium_pooled,combined,10,never_trained
3,2149,0.79572,0.80782,Austropotamobius_torrentium_pooled,combined,10,never_trained
4,2150,0.58372,0.62651,Austropotamobius_torrentium_pooled,combined,10,never_trained
0,2375,0.90358,0.77263,Austropotamobius_torrentium_pooled,combined,20,all
1,2374,0.97599,0.87995,Austropotamobius_torrentium_pooled,combined,20,all
2,2374,0.96883,0.87869,Austropotamobius_torrentium_pooled,combined,20,all
3,2374,0.84246,0.83909,Austropotamobius_torrentium_pooled,combined,20,all
4,2375,0.55579,0.62653,Austropotamobius_torrentium_pooled,combined,20,all
0,2130,0.9,0.7662,Austropotamobius_torrentium_pooled,combined,20,never_trained
1,2130,0.97418,0.88122,Austropotamobius_torrentium_pooled,combined,20,never_trained
2,2130,0.9662,0.88169,Austropotamobius_torrentium_pooled,combined,20,never_trained
3,2130,0.83662,0.84366,Austropotamobius_torrentium_pooled,combined,20,never_trained
4,2130,0.54272,0.60986,Austropotamobius_torrentium_pooled,combined,20,never_trained
0,2375,0.89684,0.55495,Austropotamobius_torrentium_pooled,combined,3,all
1,2374,0.94103,0.58551,Austropotamobius_torrentium_pooled,combined,3,all
