cell,member,before_brier,before_ece,before_cal_intercept,before_cal_slope,platt_brier,platt_ece,platt_cal_intercept,platt_cal_slope,isotonic_brier,isotonic_ece,isotonic_cal_intercept,isotonic_cal_slope,entity_dir,track,level
Astacus_astacus__consensus__upstream_only__benchmark__L0,xgboost,0.24202,0.17452,0.10021,0.3499,0.25145,0.15482,0.04101,0.37844,0.25946,0.16162,0.01722,0.25901,Astacus_astacus,upstream_only,0
Astacus_astacus__consensus__upstream_only__lowacc__L10,glm,0.20821,0.0435,0.02001,0.67919,0.22786,0.07964,-0.03045,0.47922,0.22392,0.10241,-0.07872,0.46112,Astacus_astacus,upstream_only,10
Astacus_astacus__consensus__upstream_only__lowacc__L10,gam,0.20694,0.07281,0.00412,0.42209,0.22763,0.06704,-0.02419,0.36511,0.21469,0.08464,-0.02233,0.32227,Astacus_astacus,upstream_only,10
Astacus_astacus__consensus__upstream_only__lowacc__L10,random_forest,0.19843,0.02967,0.15929,1.13907,0.21282,0.0903,-0.02471,0.76814,0.22437,0.13371,-0.06044,0.55047,Astacus_astacus,upstream_only,10
Astacus_astacus__consensus__upstream_only__lowacc__L10,xgboost,0.22882,0.139,0.10484,0.43024,0.23444,0.11479,0.02622,0.56586,0.23351,0.12071,-0.04493,0.47009,Astacus_astacus,upstream_only,10
Astacus_astacus__consensus__upstream_only__lowacc__L20,glm,0.21485,0.03429,0.03237,0.68062,0.23281,0.08217,-0.039,0.48686,0.231,0.07362,-0.07722,0.49562,Astacus_astacus,upstream_only,20
Astacus_astacus__consensus__upstream_only__lowacc__L20,gam,0.21317,0.06175,0.03344,0.63553,0.2229,0.07551,-0.03932,0.77975,0.22267,0.05096,-0.01035,0.58729,Astacus_astacus,upstream_only,20
Astacus_astacus__consensus__upstream_only__lowacc__L20,random_forest,0.21476,0.02655,0.02817,0.91688,0.23345,0.07379,-0.02356,0.64406,0.23718,0.09095,-0.06067,0.33787,Astacus_astacus,upstream_only,20
Astacus_astacus__consensus__upstream_only__lowacc__L20,xgboost,0.25136,0.16845,0.06722,0.32397,0.2583,0.1291,0.03919,0.28972,0.26621,0.16143,-0.00456,0.12981,Astacus_astacus,upstream_only,20
Astacus_astacus__consensus__upstream_only__lowacc__L3,glm,0.20499,0.04124,0.00617,0.69931,0.2287,0.10055,-0.04269,0.45236,0.2245,0.11776,-0.05995,0.2478,Astacus_astacus,upstream_only,3
Astacus_astacus__consensus__upstream_only__lowacc__L3,gam,0.19837,0.08769,0.00397,0.69602,0.20925,0.07553,-0.04173,0.80621,0.2078,0.08767,-0.06965,0.67425,Astacus_astacus,upstream_only,3
Astacus_astacus__consensus__upstream_only__lowacc__L3,random_forest,0.19953,0.06955,0.08039,0.96083,0.21965,0.11776,-0.03513,0.71385,0.23609,0.17862,-0.06847,0.36776,Astacus_astacus,upstream_only,3
Astacus_astacus__consensus__upstream_only__lowacc__L3,xgboost,0.24935,0.19063,0.05194,0.32358,0.25223,0.13341,0.02531,0.3723,0.25956,0.16976,-0.01519,0.27164,Astacus_astacus,upstream_only,3
Austropotamobius_fulcisianus_pooled__consensus__combined__benchmark__L0,glm,0.16078,0.04451,0.11052,0.88564,0.1832,0.07997,-0.01064,0.80648,0.18428,0.08156,0.029,0.60392,Austropotamobius_fulcisianus_pooled,combined,0
Austropotamobius_fulcisianus_pooled__consensus__combined__benchmark__L0,gam,0.17136,0.05318,0.03759,0.73566,0.2019,0.07571,-0.03736,0.70875,0.20322,0.09544,-0.02208,0.61092,Austropotamobius_fulcisianus_pooled,combined,0
Austropotamobius_fulcisianus_pooled__consensus__combined__benchmark__L0,random_forest,0.14461,0.1324,-0.58751,1.93783,0.14827,0.0598,-0.11139,0.85323,0.15197,0.08962,-0.18125,0.73721,Austropotamobius_fulcisianus_pooled,combined,0
Austropotamobius_fulcisianus_pooled__consensus__combined__benchmark__L0,xgboost,0.1623,0.11811,-0.55967,0.62424,0.16546,0.04104,-0.05491,0.81481,0.16514,0.13395,-0.11313,0.71615,Austropotamobius_fulcisianus_pooled,combined,0
Austropotamobius_fulcisianus_pooled__consensus__combined__lowacc__L10,glm,0.16146,0.04382,0.12764,0.95526,0.18223,0.06886,-0.0589,0.84295,0.18062,0.09575,-0.02834,0.6479,Austropotamobius_fulcisianus_pooled,combined,10
Austropotamobius_fulcisianus_pooled__consensus__combined__lowacc__L10,gam,0.17578,0.04063,0.01867,0.77055,0.20398,0.05884,-0.06057,0.72729,0.20628,0.13282,-0.01136,0.471,Austropotamobius_fulcisianus_pooled,combined,10
Austropotamobius_fulcisianus_pooled__consensus__combined__lowacc__L10,random_forest,0.17667,0.11813,-0.69155,1.53673,0.19369,0.06809,-0.10233,0.73468,0.19473,0.15929,-0.18084,0.6384,Austropotamobius_fulcisianus_pooled,combined,10
Austropotamobius_fulcisianus_pooled__consensus__combined__lowacc__L10,xgboost,0.19298,0.15853,-0.5848,0.53944,0.18775,0.0438,-0.06329,0.77764,0.19132,0.11475,-0.06923,0.65094,Austropotamobius_fulcisianus_pooled,combined,10
Austropotamobius_fulcisianus_pooled__consensus__combined__lowacc__L20,glm,0.23366,0.1159,-0.13891,0.41225,0.3342,0.30231,0.11114,-0.24381,0.33036,0.30271,0.00615,0.00806,Austropotamobius_fulcisianus_pooled,combined,20
Austropotamobius_fulcisianus_pooled__consensus__combined__lowacc__L20,gam,0.35972,0.27732,0.05132,-0.03311,0.43247,0.48678,0.58239,-0.66156,0.4342,0.48491,0.22512,-0.1342,Austropotamobius_fulcisianus_pooled,combined,20
Austropotamobius_fulcisianus_pooled__consensus__combined__lowacc__L20,random_forest,0.33139,0.25707,0.03357,-0.02249,0.48336,0.5108,0.82549,-0.59263,0.47588,0.53274,0.51607,-0.31979,Austropotamobius_fulcisianus_pooled,combined,20
Austropotamobius_fulcisianus_pooled__consensus__combined__lowacc__L20,xgboost,0.39076,0.3573,-0.18562,0.0715,0.45898,0.49258,0.72019,-0.67354,0.45776,0.51452,0.41829,-0.29146,Austropotamobius_fulcisianus_pooled,combined,20
Austropotamobius_fulcisianus_pooled__consensus__combined__lowacc__L3,glm,0.19639,0.07431,-0.10772,0.73204,0.28353,0.18305,-0.06656,0.20607,0.27908,0.23686,-0.0788,0.16244,Austropotamobius_fulcisianus_pooled,combined,3
Austropotamobius_fulcisianus_pooled__consensus__combined__lowacc__L3,gam,0.30462,0.2112,-0.15025,0.17565,0.3959,0.41608,0.25883,-0.53442,0.40718,0.39507,0.27484,-0.58658,Austropotamobius_fulcisianus_pooled,combined,3
Austropotamobius_fulcisianus_pooled__consensus__combined__lowacc__L3,random_forest,0.2935,0.21229,-0.45101,0.43323,0.45215,0.49949,0.49194,-0.54558,0.45478,0.49552,0.13467,-0.12235,Austropotamobius_fulcisianus_pooled,combined,3
Austropotamobius_fulcisianus_pooled__consensus__combined__lowacc__L3,xgboost,0.3362,0.31433,-0.66216,0.28492,0.39497,0.40316,0.23259,-0.36602,0.40436,0.40162,-0.00467,-0.01247,Austropotamobius_fulcisianus_pooled,combined,3
