binning,bin,frac_over,mean_diff,n,entity,entity_dir,track,level,source
benchmark,3,0.38284,-0.0061,2599,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,10,null
bland_altman,0,0.38761,-0.00074,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,10,null
bland_altman,1,0.4812,-0.00115,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,10,null
bland_altman,2,0.43676,-0.00311,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,10,null
bland_altman,3,0.0,-0.00045,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,10,null
bland_altman,4,0.10825,-0.0014,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,10,null
benchmark,0,0.94334,0.00736,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,20,contaminated
benchmark,1,0.79105,0.01316,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,20,contaminated
benchmark,2,0.83741,0.00954,26361,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,20,contaminated
benchmark,3,0.52559,0.00644,2599,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,20,contaminated
bland_altman,0,0.93184,0.00666,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,20,contaminated
bland_altman,1,0.78173,0.01011,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,20,contaminated
bland_altman,2,0.56583,0.01188,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,20,contaminated
bland_altman,3,1.0,0.00862,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,20,contaminated
bland_altman,4,0.88326,0.01103,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,20,contaminated
benchmark,0,0.48301,-0.00057,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,20,null
benchmark,1,0.45105,-0.00223,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,20,null
benchmark,2,0.12048,-0.00272,26361,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,20,null
benchmark,3,0.2955,-0.01284,2599,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,20,null
bland_altman,0,0.46799,-0.00083,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,20,null
bland_altman,1,0.45551,-0.00244,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,20,null
bland_altman,2,0.33534,-0.00772,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,20,null
bland_altman,3,0.00021,-8e-05,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,20,null
bland_altman,4,0.08359,-0.00262,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,20,null
