algorithm,n_saved,n_new,n_common,max_abs_diff,entity,entity_dir,track,level
glm,22945,22945,22945,0.0,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,0
gam,22945,22945,22945,0.0,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,0
random_forest,22945,22945,22945,0.0,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,0
xgboost,22945,22945,22945,0.0,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,0
glm,22945,22945,22945,0.0,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,10
gam,22945,22945,22945,0.0,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,10
random_forest,22945,22945,22945,2.220446049250313e-16,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,10
xgboost,22945,22945,22945,0.0,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,10
glm,22945,22945,22945,0.0,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,20
gam,22945,22945,22945,0.0,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,20
random_forest,22945,22945,22945,2.220446049250313e-16,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,20
xgboost,22945,22945,22945,0.0,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,20
glm,22945,22945,22945,0.0,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,3
gam,22945,22945,22945,0.0,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,3
random_forest,22945,22945,22945,1.1102230246251563e-16,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,3
