entity,algorithm,track,axis,level,auc_mean,tss_mean,brier_mean,boyce_mean,auc_std,tss_std,brier_std,boyce_std,n_reps_ok,min_folds,benchmark_presence_n,segments,auc_clean,tss_clean,brier_clean,boyce_clean,delta_auc,delta_tss,delta_brier,delta_boyce
Austropotamobius fulcisianus (pooled),xgboost,upstream_only,benchmark,0,0.5398,0.0315,0.2938,0.6084,,,,,1,5.0,744.0,12681.0,0.5398,0.0315,0.2938,0.6084,0.0,0.0,0.0,0.0
Austropotamobius fulcisianus (pooled),xgboost,upstream_only,lowacc,3,0.5209,0.0006,0.3,0.4795,0.0276,0.0251,0.0146,0.2124,30,5.0,744.0,12681.0,0.5398,0.0315,0.2938,0.6084,-0.0189,-0.0309,0.0063,-0.1289
Austropotamobius fulcisianus (pooled),xgboost,upstream_only,lowacc,10,0.537,0.0031,0.297,0.5332,0.0271,0.0345,0.0123,0.2107,30,5.0,744.0,12681.0,0.5398,0.0315,0.2938,0.6084,-0.0028,-0.0285,0.0032,-0.0753
Austropotamobius fulcisianus (pooled),xgboost,upstream_only,lowacc,20,0.5405,0.017,0.2934,0.5545,0.0217,0.0227,0.0144,0.2154,30,5.0,744.0,12681.0,0.5398,0.0315,0.2938,0.6084,0.0007,-0.0146,-0.0004,-0.0539
Austropotamobius torrentium (pooled),random_forest,combined,benchmark,0,0.8572,0.4448,0.179,0.8133,,,,,1,5.0,1032.0,11872.0,0.8572,0.4448,0.179,0.8133,0.0,0.0,0.0,0.0
Austropotamobius torrentium (pooled),random_forest,combined,lowacc,3,0.8089,0.3576,0.1864,0.8028,0.0415,0.0748,0.02,0.1396,30,5.0,1032.0,11872.0,0.8572,0.4448,0.179,0.8133,-0.0483,-0.0872,0.0074,-0.0105
Austropotamobius torrentium (pooled),random_forest,combined,lowacc,10,0.8057,0.3586,0.1736,0.8265,0.0436,0.0501,0.0125,0.1224,30,5.0,1032.0,11872.0,0.8572,0.4448,0.179,0.8133,-0.0515,-0.0862,-0.0054,0.0131
Austropotamobius torrentium (pooled),random_forest,combined,lowacc,20,0.7918,0.3289,0.1719,0.8637,0.0288,0.0447,0.0061,0.0683,30,5.0,1032.0,11872.0,0.8572,0.4448,0.179,0.8133,-0.0654,-0.116,-0.0071,0.0503
Austropotamobius torrentium (pooled),random_forest,local_only,benchmark,0,0.8528,0.4602,0.1779,0.8206,,,,,1,5.0,1032.0,11872.0,0.8528,0.4602,0.1779,0.8206,0.0,0.0,0.0,0.0
Austropotamobius torrentium (pooled),random_forest,local_only,lowacc,3,0.8065,0.3542,0.1845,0.7987,0.0425,0.0768,0.0186,0.1521,30,5.0,1032.0,11872.0,0.8528,0.4602,0.1779,0.8206,-0.0463,-0.106,0.0066,-0.022
