model,auc,brier,sensitivity,specificity,tss,boyce,n_folds,entity,entity_dir,track,level,n_presence,n_contaminant
xgboost,0.6491,0.2365,0.4784,0.6924,0.1708,0.7154,5,Astacus astacus,Astacus_astacus,upstream_only,20,2058,412
consensus_mean,0.742,0.1904,0.5878,0.7501,0.3378,0.8909,5,Astacus astacus,Astacus_astacus,upstream_only,3,2058,62
consensus_median,0.7485,0.1899,0.5946,0.7539,0.3485,0.8618,5,Astacus astacus,Astacus_astacus,upstream_only,3,2058,62
gam,0.7471,0.1961,0.6287,0.7385,0.3672,0.8764,5,Astacus astacus,Astacus_astacus,upstream_only,3,2058,62
glm,0.7214,0.1976,0.5761,0.7399,0.316,0.8788,5,Astacus astacus,Astacus_astacus,upstream_only,3,2058,62
random_forest,0.7189,0.1935,0.5463,0.7727,0.319,0.84,5,Astacus astacus,Astacus_astacus,upstream_only,3,2058,62
xgboost,0.6922,0.2369,0.526,0.7618,0.2878,0.7664,5,Astacus astacus,Astacus_astacus,upstream_only,3,2058,62
consensus_mean,0.8403,0.1364,0.8372,0.6535,0.4907,0.9879,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,combined,0,744,0
consensus_median,0.8411,0.1367,0.8303,0.6808,0.5111,0.9709,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,combined,0,744,0
gam,0.7601,0.1822,0.7304,0.6713,0.4017,0.9562,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,combined,0,744,0
glm,0.7732,0.1638,0.7508,0.6675,0.4183,0.9321,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,combined,0,744,0
random_forest,0.8563,0.1426,0.8532,0.5845,0.4377,0.937,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,combined,0,744,0
xgboost,0.842,0.1555,0.857,0.5698,0.4268,0.7408,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,combined,0,744,0
consensus_mean,0.8157,0.15,0.8295,0.6231,0.4526,0.9509,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,combined,10,744,74
consensus_median,0.8121,0.1521,0.8191,0.6172,0.4363,0.9411,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,combined,10,744,74
gam,0.7505,0.1873,0.7288,0.6147,0.3435,0.9314,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,combined,10,744,74
glm,0.7684,0.1691,0.7349,0.6415,0.3764,0.8526,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,combined,10,744,74
random_forest,0.8063,0.1681,0.8476,0.5072,0.3548,0.9575,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,combined,10,744,74
xgboost,0.8111,0.1765,0.854,0.5089,0.3628,0.6686,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,combined,10,744,74
consensus_mean,0.772,0.2142,0.8675,0.4844,0.3518,0.8932,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,combined,20,744,149
consensus_median,0.7527,0.2309,0.8568,0.4817,0.3385,0.9138,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,combined,20,744,149
gam,0.6751,0.274,0.7522,0.4914,0.2435,0.8213,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,combined,20,744,149
glm,0.7073,0.2166,0.7349,0.5633,0.2982,0.8992,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,combined,20,744,149
random_forest,0.7892,0.2276,0.885,0.4544,0.3394,0.8764,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,combined,20,744,149
xgboost,0.7871,0.2414,0.9136,0.4269,0.3405,0.6742,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,combined,20,744,149
consensus_mean,0.7968,0.1917,0.8513,0.5399,0.3912,0.9345,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,combined,3,744,22
consensus_median,0.789,0.2032,0.8464,0.5302,0.3766,0.9242,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,combined,3,744,22
gam,0.7209,0.2504,0.7573,0.5676,0.3249,0.8958,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,combined,3,744,22
glm,0.7507,0.1934,0.7181,0.6224,0.3405,0.7897,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,combined,3,744,22
random_forest,0.8046,0.2071,0.8857,0.4441,0.3298,0.7769,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,combined,3,744,22
xgboost,0.805,0.2205,0.8929,0.463,0.3559,0.545,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,combined,3,744,22
consensus_mean,0.79,0.168,0.8419,0.5299,0.3718,0.8744,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,local_only,0,744,0
consensus_median,0.7759,0.1717,0.8407,0.5187,0.3594,0.8715,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,local_only,0,744,0
gam,0.7069,0.2167,0.7737,0.4522,0.2259,0.5274,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,local_only,0,744,0
glm,0.6673,0.235,0.7295,0.5178,0.2473,0.5514,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,local_only,0,744,0
random_forest,0.8505,0.1457,0.8609,0.5848,0.4457,0.9418,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,local_only,0,744,0
xgboost,0.8442,0.1608,0.8604,0.5328,0.3932,0.7523,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,local_only,0,744,0
