model,auc,brier,sensitivity,specificity,tss,boyce,n_folds,entity,entity_dir,track,level,n_presence,n_contaminant
consensus_median,0.7972,0.176,0.6992,0.7495,0.4487,0.9903,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,0,1496,0
gam,0.6849,0.2215,0.607,0.6623,0.2693,0.9685,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,0,1496,0
glm,0.6953,0.2121,0.6157,0.6683,0.2839,0.9685,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,0,1496,0
random_forest,0.8088,0.1673,0.7393,0.7487,0.488,0.9806,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,0,1496,0
xgboost,0.8196,0.1692,0.7494,0.7438,0.4931,0.9952,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,0,1496,0
consensus_mean,0.8037,0.1799,0.6698,0.7986,0.4684,0.9903,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,10,1496,150
consensus_median,0.797,0.1832,0.6678,0.7916,0.4593,0.9897,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,10,1496,150
gam,0.7063,0.2179,0.6064,0.6962,0.3025,0.9733,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,10,1496,150
glm,0.7065,0.2156,0.6103,0.6788,0.2891,0.9418,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,10,1496,150
random_forest,0.8076,0.1787,0.7018,0.763,0.4648,0.9806,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,10,1496,150
xgboost,0.81,0.1812,0.6898,0.7823,0.4721,0.9709,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,10,1496,150
consensus_mean,0.7878,0.1872,0.6932,0.7372,0.4304,0.9952,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,20,1496,299
consensus_median,0.7822,0.1901,0.6845,0.7317,0.4162,0.9903,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,20,1496,299
gam,0.7052,0.2223,0.6251,0.6736,0.2987,0.9588,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,20,1496,299
glm,0.7003,0.2198,0.621,0.6697,0.2907,0.9539,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,20,1496,299
random_forest,0.776,0.1892,0.6952,0.7095,0.4047,0.9927,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,20,1496,299
xgboost,0.7907,0.1909,0.7179,0.7143,0.4322,0.983,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,20,1496,299
consensus_mean,0.8019,0.1719,0.6905,0.7655,0.456,0.9903,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,3,1496,45
consensus_median,0.7927,0.1761,0.6858,0.7587,0.4445,0.9927,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,3,1496,45
gam,0.6838,0.2182,0.6057,0.6707,0.2764,0.9539,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,3,1496,45
glm,0.6869,0.2151,0.627,0.6456,0.2726,0.9709,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,3,1496,45
random_forest,0.8058,0.1669,0.7192,0.7741,0.4934,0.9758,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,3,1496,45
xgboost,0.8182,0.166,0.7139,0.7666,0.4805,0.98,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,3,1496,45
consensus_mean,0.7957,0.1756,0.7119,0.7474,0.4593,0.9952,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,local_only,0,1496,0
consensus_median,0.7868,0.1804,0.7066,0.7328,0.4393,0.9903,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,local_only,0,1496,0
gam,0.6917,0.223,0.6458,0.6426,0.2884,0.9661,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,local_only,0,1496,0
glm,0.6831,0.2173,0.6243,0.637,0.2614,0.9758,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,local_only,0,1496,0
random_forest,0.804,0.1693,0.7252,0.752,0.4773,0.983,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,local_only,0,1496,0
xgboost,0.8092,0.1723,0.734,0.7448,0.4788,0.9394,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,local_only,0,1496,0
consensus_mean,0.8033,0.181,0.6979,0.7736,0.4715,0.983,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,local_only,10,1496,150
consensus_median,0.7952,0.1851,0.6905,0.7594,0.4499,0.983,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,local_only,10,1496,150
gam,0.6973,0.2225,0.6064,0.671,0.2774,0.9564,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,local_only,10,1496,150
glm,0.6993,0.2187,0.6123,0.6563,0.2687,0.9879,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,local_only,10,1496,150
random_forest,0.8097,0.1781,0.6865,0.774,0.4605,0.9782,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,local_only,10,1496,150
xgboost,0.814,0.18,0.7159,0.756,0.4719,0.983,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,local_only,10,1496,150
consensus_mean,0.7862,0.1897,0.7033,0.7251,0.4284,0.9952,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,local_only,20,1496,299
consensus_median,0.7795,0.1937,0.6992,0.7054,0.4047,0.9879,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,local_only,20,1496,299
gam,0.6967,0.2284,0.6265,0.6322,0.2587,0.9418,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,local_only,20,1496,299
glm,0.6961,0.222,0.6404,0.6409,0.2813,0.9491,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,local_only,20,1496,299
random_forest,0.7756,0.1888,0.6858,0.7109,0.3967,0.9879,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,local_only,20,1496,299
xgboost,0.7903,0.1926,0.7099,0.7211,0.4311,0.983,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,local_only,20,1496,299
consensus_mean,0.7974,0.1728,0.7012,0.7623,0.4635,1.0,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,local_only,3,1496,45
consensus_median,0.7881,0.1778,0.7012,0.7384,0.4396,0.9952,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,local_only,3,1496,45
gam,0.6955,0.2174,0.6398,0.6431,0.2829,0.9418,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,local_only,3,1496,45
glm,0.693,0.2159,0.6491,0.6279,0.277,0.9248,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,local_only,3,1496,45
random_forest,0.806,0.1672,0.7119,0.7634,0.4752,0.9733,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,local_only,3,1496,45
xgboost,0.8139,0.1681,0.7179,0.755,0.4729,0.9685,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,local_only,3,1496,45
consensus_mean,0.7316,0.2003,0.5416,0.7733,0.3148,0.9879,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,upstream_only,0,1496,0
consensus_median,0.731,0.2015,0.5416,0.7716,0.3132,0.9782,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,upstream_only,0,1496,0
gam,0.6342,0.2357,0.4815,0.7018,0.1833,0.9055,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,upstream_only,0,1496,0
glm,0.6468,0.2245,0.3731,0.7983,0.1714,0.8812,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,upstream_only,0,1496,0
random_forest,0.7452,0.196,0.4572,0.8599,0.3171,0.9661,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,upstream_only,0,1496,0
xgboost,0.7494,0.2005,0.5596,0.7942,0.3538,0.9588,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,upstream_only,0,1496,0
consensus_mean,0.7332,0.204,0.4345,0.8711,0.3057,0.9879,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,upstream_only,10,1496,150
consensus_median,0.7305,0.2051,0.4312,0.8743,0.3055,0.9733,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,upstream_only,10,1496,150
gam,0.639,0.2303,0.4567,0.7285,0.1852,0.8836,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,upstream_only,10,1496,150
glm,0.6519,0.225,0.3718,0.8089,0.1806,0.8473,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,upstream_only,10,1496,150
random_forest,0.7467,0.2011,0.7513,0.5655,0.3168,0.9709,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,upstream_only,10,1496,150
xgboost,0.7337,0.2102,0.6784,0.6161,0.2945,0.9152,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,upstream_only,10,1496,150
consensus_mean,0.7222,0.2108,0.6787,0.6133,0.2921,0.9903,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,upstream_only,20,1496,299
consensus_median,0.7154,0.2119,0.676,0.6073,0.2834,0.9758,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,upstream_only,20,1496,299
gam,0.6425,0.2376,0.5444,0.6403,0.1846,0.9436,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,upstream_only,20,1496,299
glm,0.6529,0.2315,0.442,0.7219,0.1639,0.8885,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,upstream_only,20,1496,299
random_forest,0.7182,0.2085,0.6864,0.5684,0.2549,0.9588,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,upstream_only,20,1496,299
xgboost,0.722,0.2147,0.69,0.6034,0.2935,0.9145,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,upstream_only,20,1496,299
consensus_mean,0.7265,0.2012,0.4459,0.8533,0.2993,0.9564,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,upstream_only,3,1496,45
consensus_median,0.7256,0.2023,0.4439,0.8563,0.3002,0.9855,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,upstream_only,3,1496,45
gam,0.6242,0.2337,0.3878,0.776,0.1638,0.804,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,upstream_only,3,1496,45
glm,0.6399,0.2264,0.3825,0.7925,0.175,0.8255,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,upstream_only,3,1496,45
random_forest,0.7437,0.1969,0.4606,0.8765,0.3371,0.9588,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,upstream_only,3,1496,45
xgboost,0.742,0.2001,0.6137,0.7249,0.3387,0.9477,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,upstream_only,3,1496,45
consensus_mean,0.8923,0.1295,0.8354,0.7982,0.6337,1.0,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,0,7711,0
consensus_median,0.889,0.1304,0.8337,0.7905,0.6243,1.0,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,0,7711,0
gam,0.7781,0.1917,0.7471,0.6704,0.4175,0.9806,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,0,7711,0
glm,0.7663,0.1885,0.7637,0.6437,0.4074,1.0,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,0,7711,0
random_forest,0.9072,0.1155,0.858,0.8048,0.6628,0.9976,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,0,7711,0
xgboost,0.9082,0.1121,0.8554,0.8001,0.6555,0.9782,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,0,7711,0
consensus_mean,0.8719,0.135,0.8497,0.7433,0.593,1.0,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,10,7711,771
consensus_median,0.8698,0.136,0.8481,0.7401,0.5882,1.0,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,10,7711,771
gam,0.7473,0.1931,0.7548,0.5997,0.3545,1.0,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,10,7711,771
glm,0.7274,0.1925,0.7575,0.5854,0.3429,1.0,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,10,7711,771
random_forest,0.8877,0.1236,0.8586,0.7626,0.6213,0.9976,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,10,7711,771
xgboost,0.8869,0.1195,0.8549,0.7674,0.6222,0.9976,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,10,7711,771
consensus_mean,0.8828,0.1382,0.8426,0.7835,0.6261,1.0,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,20,7711,1542
consensus_median,0.881,0.1393,0.8405,0.7792,0.6197,1.0,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,20,7711,1542
gam,0.762,0.1975,0.7403,0.6382,0.3785,1.0,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,20,7711,1542
glm,0.7446,0.1983,0.75,0.6247,0.3747,0.9976,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,20,7711,1542
random_forest,0.8991,0.1248,0.8612,0.8025,0.6637,1.0,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,20,7711,1542
xgboost,0.8989,0.1193,0.8564,0.8004,0.6568,1.0,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,20,7711,1542
consensus_mean,0.891,0.1322,0.8441,0.7975,0.6417,1.0,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,3,7711,231
consensus_median,0.8888,0.1331,0.8423,0.7891,0.6314,0.9976,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,3,7711,231
gam,0.7758,0.1874,0.7488,0.6558,0.4047,1.0,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,3,7711,231
glm,0.7655,0.189,0.7636,0.6337,0.3973,1.0,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,3,7711,231
random_forest,0.9019,0.1212,0.8532,0.8116,0.6648,1.0,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,3,7711,231
xgboost,0.9014,0.1181,0.8465,0.8064,0.6529,0.9976,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,3,7711,231
consensus_mean,0.8982,0.1199,0.8694,0.7701,0.6395,1.0,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,0,7711,0
consensus_median,0.8972,0.1194,0.8687,0.7663,0.635,0.9976,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,0,7711,0
gam,0.8457,0.1549,0.8082,0.7032,0.5114,0.9612,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,0,7711,0
glm,0.8217,0.1626,0.8153,0.6209,0.4363,0.9879,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,0,7711,0
random_forest,0.9069,0.1152,0.8608,0.8006,0.6615,1.0,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,0,7711,0
xgboost,0.9083,0.1114,0.8588,0.7962,0.655,0.9782,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,0,7711,0
consensus_mean,0.8804,0.1247,0.8637,0.7435,0.6072,0.9952,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,10,7711,771
consensus_median,0.8798,0.1243,0.8654,0.7386,0.604,0.9952,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,10,7711,771
gam,0.824,0.1524,0.8104,0.6585,0.4689,0.9903,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,10,7711,771
glm,0.8041,0.1615,0.809,0.5928,0.4018,1.0,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,10,7711,771
random_forest,0.8889,0.1229,0.8606,0.7672,0.6278,0.9976,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,10,7711,771
xgboost,0.8867,0.1196,0.8507,0.7714,0.6221,0.9927,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,10,7711,771
consensus_mean,0.8901,0.1258,0.8595,0.7862,0.6457,0.9976,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,7711,1542
consensus_median,0.8897,0.1248,0.865,0.7815,0.6465,1.0,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,7711,1542
gam,0.8373,0.1557,0.8132,0.7174,0.5307,0.9903,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,7711,1542
glm,0.825,0.1623,0.8245,0.6378,0.4624,0.983,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,7711,1542
random_forest,0.8991,0.1244,0.8612,0.8039,0.6652,1.0,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,7711,1542
xgboost,0.8964,0.1208,0.8577,0.7983,0.656,1.0,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,7711,1542
consensus_mean,0.8931,0.1234,0.8712,0.7818,0.6531,1.0,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,3,7711,231
consensus_median,0.8927,0.1228,0.8769,0.777,0.654,0.9952,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,3,7711,231
gam,0.845,0.1528,0.8171,0.7231,0.5402,0.9927,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,3,7711,231
glm,0.8239,0.1619,0.8186,0.6381,0.4567,0.9976,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,3,7711,231
random_forest,0.9023,0.1208,0.8542,0.8093,0.6635,1.0,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,3,7711,231
xgboost,0.8998,0.1198,0.8511,0.8035,0.6546,0.9927,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,3,7711,231
consensus_mean,0.8126,0.1707,0.9025,0.5293,0.4317,1.0,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,0,7711,0
consensus_median,0.8111,0.171,0.8965,0.5298,0.4263,1.0,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,0,7711,0
gam,0.7068,0.2146,0.8217,0.4576,0.2793,0.9976,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,0,7711,0
glm,0.6913,0.2127,0.8031,0.4576,0.2608,0.9782,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,0,7711,0
random_forest,0.8266,0.1598,0.8431,0.5886,0.4317,1.0,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,0,7711,0
xgboost,0.8255,0.1612,0.6842,0.7539,0.4381,0.9976,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,0,7711,0
consensus_mean,0.7962,0.1756,0.9039,0.5049,0.4088,1.0,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,10,7711,771
consensus_median,0.7958,0.176,0.8978,0.5043,0.4021,1.0,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,10,7711,771
gam,0.6827,0.2215,0.8113,0.4332,0.2445,0.9758,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,10,7711,771
glm,0.6563,0.2165,0.8047,0.4207,0.2254,0.9564,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,10,7711,771
random_forest,0.8126,0.1654,0.9099,0.5145,0.4244,0.9976,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,10,7711,771
xgboost,0.8078,0.1683,0.6803,0.7297,0.41,0.9782,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,10,7711,771
consensus_mean,0.8064,0.1757,0.9065,0.5296,0.4361,1.0,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,20,7711,1542
consensus_median,0.8049,0.1763,0.9021,0.5291,0.4312,0.9976,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,20,7711,1542
gam,0.6912,0.216,0.8191,0.446,0.2651,0.9806,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,20,7711,1542
glm,0.6796,0.2155,0.8043,0.4532,0.2575,0.9636,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,20,7711,1542
random_forest,0.8212,0.1671,0.9144,0.5371,0.4515,1.0,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,20,7711,1542
xgboost,0.8187,0.1653,0.8413,0.5895,0.4308,0.9782,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,20,7711,1542
consensus_mean,0.809,0.1731,0.9057,0.5171,0.4228,0.9903,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,3,7711,231
consensus_median,0.8073,0.1736,0.8981,0.5183,0.4164,1.0,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,3,7711,231
gam,0.7026,0.2151,0.8124,0.4528,0.2652,0.9879,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,3,7711,231
glm,0.6897,0.2145,0.8064,0.4532,0.2596,0.9709,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,3,7711,231
random_forest,0.8169,0.1646,0.8239,0.577,0.4009,1.0,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,3,7711,231
xgboost,0.8199,0.1634,0.7586,0.678,0.4367,0.9806,5,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,3,7711,231
consensus_mean,0.8042,0.0894,0.8768,0.593,0.4697,0.9433,5,Procambarus clarkii (native),Procambarus_clarkii_native,combined,0,1915,0
consensus_median,0.807,0.0881,0.8809,0.6037,0.4847,0.8286,5,Procambarus clarkii (native),Procambarus_clarkii_native,combined,0,1915,0
gam,0.735,0.1159,0.8789,0.4753,0.3541,0.723,5,Procambarus clarkii (native),Procambarus_clarkii_native,combined,0,1915,0
glm,0.6504,0.1698,0.7723,0.5004,0.2727,0.5867,5,Procambarus clarkii (native),Procambarus_clarkii_native,combined,0,1915,0
random_forest,0.8718,0.0815,0.8883,0.6037,0.4919,0.9484,5,Procambarus clarkii (native),Procambarus_clarkii_native,combined,0,1915,0
xgboost,0.8741,0.0788,0.8893,0.6136,0.5029,0.8322,5,Procambarus clarkii (native),Procambarus_clarkii_native,combined,0,1915,0
consensus_mean,0.7019,0.1317,0.93,0.2957,0.2257,0.7551,5,Procambarus clarkii (native),Procambarus_clarkii_native,combined,10,1915,192
consensus_median,0.7183,0.1268,0.9185,0.3143,0.2328,0.6412,5,Procambarus clarkii (native),Procambarus_clarkii_native,combined,10,1915,192
gam,0.54,0.2179,0.93,0.1921,0.1222,0.4027,5,Procambarus clarkii (native),Procambarus_clarkii_native,combined,10,1915,192
glm,0.5771,0.1708,0.7671,0.4151,0.1822,0.4119,5,Procambarus clarkii (native),Procambarus_clarkii_native,combined,10,1915,192
random_forest,0.8107,0.1225,0.9525,0.3534,0.3059,0.9055,5,Procambarus clarkii (native),Procambarus_clarkii_native,combined,10,1915,192
xgboost,0.8131,0.1147,0.9138,0.4529,0.3667,0.7583,5,Procambarus clarkii (native),Procambarus_clarkii_native,combined,10,1915,192
consensus_mean,0.7937,0.0958,0.8418,0.5401,0.3818,0.7992,5,Procambarus clarkii (native),Procambarus_clarkii_native,combined,20,1915,383
consensus_median,0.8103,0.0946,0.8439,0.5446,0.3885,0.9186,5,Procambarus clarkii (native),Procambarus_clarkii_native,combined,20,1915,383
gam,0.702,0.126,0.8418,0.436,0.2778,0.4262,5,Procambarus clarkii (native),Procambarus_clarkii_native,combined,20,1915,383
glm,0.5967,0.1757,0.7462,0.4672,0.2134,0.3849,5,Procambarus clarkii (native),Procambarus_clarkii_native,combined,20,1915,383
random_forest,0.862,0.0875,0.8642,0.6353,0.4995,0.9248,5,Procambarus clarkii (native),Procambarus_clarkii_native,combined,20,1915,383
xgboost,0.8605,0.0865,0.8559,0.6079,0.4637,0.7871,5,Procambarus clarkii (native),Procambarus_clarkii_native,combined,20,1915,383
consensus_mean,0.6819,0.1337,0.9399,0.2034,0.1433,0.6289,5,Procambarus clarkii (native),Procambarus_clarkii_native,combined,3,1915,57
consensus_median,0.7004,0.1301,0.9337,0.2178,0.1515,0.6765,5,Procambarus clarkii (native),Procambarus_clarkii_native,combined,3,1915,57
gam,0.5139,0.2119,0.9373,0.1389,0.0762,0.0451,5,Procambarus clarkii (native),Procambarus_clarkii_native,combined,3,1915,57
glm,0.5347,0.1717,0.7728,0.3419,0.1147,0.1389,5,Procambarus clarkii (native),Procambarus_clarkii_native,combined,3,1915,57
random_forest,0.7919,0.123,0.9572,0.2655,0.2227,0.6447,5,Procambarus clarkii (native),Procambarus_clarkii_native,combined,3,1915,57
xgboost,0.7841,0.1227,0.9326,0.3145,0.2471,0.6484,5,Procambarus clarkii (native),Procambarus_clarkii_native,combined,3,1915,57
consensus_mean,0.8051,0.0824,0.8794,0.5544,0.4338,0.9073,5,Procambarus clarkii (native),Procambarus_clarkii_native,local_only,0,1915,0
consensus_median,0.7917,0.0831,0.8825,0.5548,0.4373,0.7885,5,Procambarus clarkii (native),Procambarus_clarkii_native,local_only,0,1915,0
gam,0.7318,0.1057,0.8783,0.4565,0.3349,0.6115,5,Procambarus clarkii (native),Procambarus_clarkii_native,local_only,0,1915,0
glm,0.6635,0.1213,0.7974,0.5495,0.3469,0.7745,5,Procambarus clarkii (native),Procambarus_clarkii_native,local_only,0,1915,0
random_forest,0.871,0.082,0.8977,0.5832,0.4808,0.9599,5,Procambarus clarkii (native),Procambarus_clarkii_native,local_only,0,1915,0
xgboost,0.88,0.079,0.8883,0.6123,0.5005,0.725,5,Procambarus clarkii (native),Procambarus_clarkii_native,local_only,0,1915,0
consensus_mean,0.7119,0.1208,0.9138,0.2796,0.1935,0.6679,5,Procambarus clarkii (native),Procambarus_clarkii_native,local_only,10,1915,192
consensus_median,0.7098,0.1193,0.917,0.2932,0.2102,0.7669,5,Procambarus clarkii (native),Procambarus_clarkii_native,local_only,10,1915,192
gam,0.5509,0.2042,0.9347,0.1534,0.0881,0.2507,5,Procambarus clarkii (native),Procambarus_clarkii_native,local_only,10,1915,192
glm,0.581,0.127,0.7869,0.4224,0.2094,0.6016,5,Procambarus clarkii (native),Procambarus_clarkii_native,local_only,10,1915,192
random_forest,0.8081,0.1218,0.9619,0.3399,0.3018,0.7703,5,Procambarus clarkii (native),Procambarus_clarkii_native,local_only,10,1915,192
xgboost,0.8033,0.1169,0.9164,0.4559,0.3723,0.6552,5,Procambarus clarkii (native),Procambarus_clarkii_native,local_only,10,1915,192
consensus_mean,0.8048,0.0919,0.846,0.5116,0.3576,0.8422,5,Procambarus clarkii (native),Procambarus_clarkii_native,local_only,20,1915,383
